id,title,Recipe_Description,Nutritional_Information_(per_serving),instructions,ingredients,image,total_time_mins,calories,proteins,fats,carbs,ingredients_list,instructions_list,meal_type
1771250407-119,Healthier full English breakfast,"Everyone loves a traditional cooked breakfast. This one is trimmed down to make it healthier – yet every bit as tasty!Prep: 10 mins
Cook: 10 mins
Serves 4","1,096kJ / 262kcal20g protein19g carbohydrate, of which 8g sugars13g fat, of which 3g saturates6g fibre1.7g salt","Preheat the grill. Arrange the bacon and halved tomatoes on the rack and cook for 5 to 6 minutes, turning the bacon once.
  

          
            


  
    Meanwhile, put the mushrooms into a large frying pan with the water. Heat and simmer for 5 minutes, stirring occasionally.
  
    
  Information: 
  Cooking mushrooms in a little water is a much healthier cooking method than frying them.


  

          
            


  
    At the same time, heat the baked beans in a separate saucepan.
  
    
  Information: 
  Make it a habit to choose canned beans with a reduced sugar and salt content.


  

          
            


  
    Heat the vegetable oil in a non-stick frying pan and crack in the eggs. Cook over a medium heat for about 2 minutes until set, then transfer to the grill to set the surface. At this point, remove the grill pan, and share the bacon and tomatoes between 4 warm serving plates.
  

          
            


  
    Share out the baked beans and mushrooms, then place 1 egg on each plate. Season with black pepper and serve.","4 lean back bacon rashers, fat trimmed8 tomatoes, halved250g closed-cup mushrooms, washed and thickly sliced50ml cold water420g reduced-salt and sugar baked beans in tomato sauce1 tsp vegetable oil4 eggs1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Food_Smart_full_English_MHJ9FBq.width-1534.png,20,262kcals,20g,13g,19g,"['4 lean back bacon rashers, fat trimmed', '8 tomatoes, halved', '250g closed-cup mushrooms, washed and thickly sliced', '50ml cold water', '420g reduced-salt and sugar baked beans in tomato sauce', '1 tsp vegetable oil', '4 eggs', '1 pinch ground black pepper']","['Preheat the grill. Arrange the bacon and halved tomatoes on the rack and cook for 5 to 6 minutes, turning the bacon once.', 'Meanwhile, put the mushrooms into a large frying pan with the water. Heat and simmer for 5 minutes, stirring occasionally.', 'Cooking mushrooms in a little water is a much healthier cooking method than frying them.', 'At the same time, heat the baked beans in a separate saucepan.', 'Make it a habit to choose canned beans with a reduced sugar and salt content.', 'Heat the vegetable oil in a non-stick frying pan and crack in the eggs. Cook over a medium heat for about 2 minutes until set, then transfer to the grill to set the surface. At this point, remove the grill pan, and share the bacon and tomatoes between 4 warm serving plates.', 'Share out the baked beans and mushrooms, then place 1 egg on each plate. Season with black pepper and serve.']",Breakfast
1771250409-120,Harvest vegetable soup,"This creamy-textured soup has a really lovely flavour – and it's so easy to make.Prep: 15 mins
Cook: 30 mins
Serves 4","1,289kJ / 308kcal13.5g protein55g carbohydrate of which 18g sugars6g fat of which 2.5g saturates5.75g fibre0.9g salt","Put the onion, leek, carrot, swede or turnip, potato and stock into a large saucepan. Bring to the boil, then reduce the heat and simmer, partially covered, for 25 minutes, until the vegetables are tender.
  
    
  Information: 
  You could use butternut squash or sweet potato instead of swede or turnip, if you prefer.


  

          
            


  
    Blend the cornflour to a smooth paste with 2 to 3 tablespoons of the milk. Add the remaining milk to the saucepan with the sweetcorn, then stir in the blended cornflour. Heat gently, stirring constantly, until the soup thickens and just begins to boil.
  

          
            


  
    Season with black pepper and ladle into bowls. Serve each portion with a wholemeal roll, if you like.
  
    
  Information: 
  Cool the soup and store in a covered container for up to 3 days, or freeze for up to 3 months.","1 medium-sized onion, finely chopped1 leek, trimmed and sliced1 carrot, diced 200g swede or turnip, diced1 medium-sized potato, diced400ml reduced-salt vegetable or chicken stock1 tbsp cornflour600ml 1%-fat milk75g sweetcorn1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/8.-Harvest-veg-soup.width-1534.jpg,45,308kcals,13.5g,6g,55g,"['1 medium-sized\xa0onion,\xa0finely chopped', '1 leek,\xa0trimmed and sliced', '1 carrot,\xa0diced\xa0200g swede or turnip, diced', '1 medium-sized potato, diced', '400ml reduced-salt vegetable or chicken stock', '1 tbsp cornflour', '600ml 1%-fat milk', '75g sweetcorn', '1 pinch\xa0ground black pepper']","['Put the onion, leek, carrot, swede or turnip, potato and stock into a large saucepan. Bring to the boil, then reduce the heat and simmer, partially covered, for 25 minutes, until the vegetables are tender.', 'You could use butternut squash or sweet potato instead of swede or turnip, if you prefer.', 'Blend the cornflour to a smooth paste with 2 to 3 tablespoons of the milk. Add the remaining milk to the saucepan with the sweetcorn, then stir in the blended cornflour. Heat gently, stirring constantly, until the soup thickens and just begins to boil.', 'Season with black pepper and ladle into bowls. Serve each portion with a wholemeal roll, if you like.', 'Cool the soup and store in a covered container for up to 3 days, or freeze for up to 3 months.']",Lunch
1771250411-121,Ham and fresh coleslaw pittas,"You can make a healthier version of coleslaw in just a few minutes. Enjoy some in these tasty pittas.Prep: 15 mins
Cook: 3 mins
Serves 4",920kJ / 220kcal15g protein35g carbohydrate of which 8g sugars2g fat of which 0.7g saturates2.5g fibre1.1g salt,"Mix together the cabbage, carrot and spring onions. Add the yoghurt and stir together. Season with black pepper.
  

          
            


  
    Warm the pittas in a toaster or under the grill. Split them open and stuff each one with a slice of ham and the coleslaw.
  
    
  Information: 
  For a vegetarian version, omit the ham and add 40g reduced-fat hard cheese to the coleslaw, either grated or cut into tiny cubes.


  

          
            


  
    Serve each pitta with cherry tomatoes and cucumber.
  
    
  Information: 
  Another time, use skinless roast turkey or chicken instead of ham.","150g firm white cabbage, finely shredded1 carrot, grated2 spring onions, finely chopped2 tbsp low-fat natural yoghurt4 wholemeal pitta breads4 slices lean roast ham1 pinch ground black pepper2 handfuls cherry tomatoes¼  of a cucumber, sliced",https://assets.nhs.uk/campaigns-cms-prod/images/7.-Ham-and-fresh-coleslaw-pittas.width-1534.jpg,18,220kcals,15g,2g,35g,"['150g firm white cabbage,\xa0finely shredded', '1\xa0carrot, grated', '2 spring onions, finely chopped', '2 tbsp low-fat natural yoghurt', '4 wholemeal pitta breads', '4 slices lean roast ham', '1 pinch\xa0ground black pepper', '2 handfuls cherry tomatoes¼ \xa0of a cucumber, sliced']","['Mix together the cabbage, carrot and spring onions. Add the yoghurt and stir together. Season with black pepper.', 'Warm the pittas in a toaster or under the grill. Split them open and stuff each one with a slice of ham and the coleslaw.', 'For a vegetarian version, omit the ham and add 40g reduced-fat hard cheese to the coleslaw, either grated or cut into tiny cubes.', 'Serve each pitta with cherry tomatoes and cucumber.', 'Another time, use skinless roast turkey or chicken instead of ham.']",Dinner
1771250413-122,Haddock florentine,"A perfect poached egg tops grilled haddock on wilted spinach for a healthier weekend breakfast or brunch.Prep: 5 mins
Cook: 10 mins
Serves 4","1,354kJ / 322 kcals37g protein10.2g fat, of which 2.5g saturates18.8g carbohydrate, of which 3.8g sugars3.6g fibre0.9g salt","Preheat the grill. Fill the kettle and boil it. Grill the haddock fillets, with the tomatoes at the side of the grill pan for 5 to 6 minutes until the fish is cooked (it should stop looking see-through and should flake easily).
  
    
  Information: 
  For a treat, try salmon instead of haddock.


  

          
            


  
    Meanwhile, poach the eggs in gently simmering water for 4 to 5 minutes. Toast the slices of bread and spread them with reduced-fat spread.
  
    
  Information: 
  Adding a shake of vinegar to the poaching water helps the eggs to keep together.


  

          
            


  
    Put the spinach in a large colander and slowly pour the kettleful of boiling water over the leaves to wilt them. Leave to drain for a few moments, then share between 4 warm plates. Arrange the fish on top, and place a poached egg onto each portion.
  
    
  Information: 
  Serve with grilled mushrooms instead of spinach, if you prefer.



  

          
            


  
    Sprinkle with black pepper and serve with the tomatoes and toast.","4 skinless haddock fillets4 tomatoes, halved4 eggs4 slices wholemeal bread4 teaspoons reduced-fat spread300g spinach1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Haddock_florentine.width-1534.png,15,322kcals,37g,10.2g,18.8g,"['4 skinless haddock fillets', '4 tomatoes, halved', '4 eggs', '4 slices wholemeal bread', '4 teaspoons reduced-fat spread', '300g spinach', '1 pinch ground black pepper']","['Preheat the grill. Fill the kettle and boil it. Grill the haddock fillets, with the tomatoes at the side of the grill pan for 5 to 6 minutes until the fish is cooked (it should stop looking see-through and should flake easily).', 'For a treat, try salmon instead of haddock.', 'Meanwhile, poach the eggs in gently simmering water for 4 to 5 minutes. Toast the slices of bread and spread them with reduced-fat spread.', 'Adding a shake of vinegar to the poaching water helps the eggs to keep together.', 'Put the spinach in a large colander and slowly pour the kettleful of boiling water over the leaves to wilt them. Leave to drain for a few moments, then share between 4 warm plates. Arrange the fish on top, and place a poached egg onto each portion.', 'Serve with grilled mushrooms instead of spinach, if you prefer.', 'Sprinkle with black pepper and serve with the tomatoes and toast.']",Breakfast
1771250415-123,Grilled plantain with fresh salsa recipe,"A close relative of the banana, grilled ripe plantains are commonly eaten as a snack in many West African countries. They are naturally sweet, low in fat and are a good source of energy. They also make an excellent finger food for younger children.Prep: 15 mins
Cook: 10 mins
Serves 4","393kJ / 94kcal1g protein0.3g fat, of which 0.1g saturates23g carbohydrate, of which 6g sugars1.5g fibretrace levels of salt","Peel plantains by chopping both ends off and making a slit along the whole length of each plantain skin. Slide your thumb under the slit to loosen and remove the skin.
  

          
            


  
    Cut each plantain in half and then cut each piece lengthwise. (You should have 8 pieces altogether).
  

          
            


  
    Grill on a low heat turning occasionally for about 10 minutes or until cooked. (Plantains are soft inside but not sticky when cooked).
  

          
            


  
    Meanwhile, make the salsa by mixing together the tomato, cucumber and spring onion.
  
    
  Information: 
  Make a fruity salsa by substituting 2 chopped pineapple rings in natural juice for the tomato.


  

          
            


  
    Season with pepper, then serve with the warm plantain.
  
    
  Information: 
  If you like things spicy, add a little finely chopped fresh red chili to the salsa, or use a pinch of chilli powder instead.","2 ripe plantains1 tomato, finely choppedquarter of a cucumber, finely chopped3 spring onions, finely chopped1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Grilled_plantain_with_fresh_salsa.width-1534.png,25,94kcals,1g,0.3g,23g,"['2 ripe plantains', '1 tomato, finely choppedquarter of a cucumber, finely chopped', '3 spring onions, finely chopped', '1 pinch ground black pepper']","['Peel plantains by chopping both ends off and making a slit along the whole length of each plantain skin. Slide your thumb under the slit to loosen and remove the skin.', 'Cut each plantain in half and then cut each piece lengthwise. (You should have 8 pieces altogether).', 'Grill on a low heat turning occasionally for about 10 minutes or until cooked. (Plantains are soft inside but not sticky when cooked).', 'Meanwhile, make the salsa by mixing together the tomato, cucumber and spring onion.', 'Make a fruity salsa by substituting 2 chopped pineapple rings in natural juice for the tomato.', 'Season with pepper, then serve with the warm plantain.', 'If you like things spicy, add a little finely chopped fresh red chili to the salsa, or use a pinch of chilli powder instead.']",Snack
1771250417-124,Greek-style salad,"A simple and colourful salad packed full of Mediterranean flavour.Prep: 15 mins
Serves 4","544kJ / 131kcal6.6g protein4.2g carbohydrate, of which 3.9g sugars9.4g fat, of which 2.8g saturates1.8g fibre0.7g salt","Mix the lemon juice, olive oil, oregano and black pepper together.
  

          
            


  
    Combine the salad vegetables, olives and dressing, mix well and put in a serving bowl.
  
    
  Information: 
  You could add some diced pepper too.


  

          
            


  
    Crumble the cheese over the top.
  
    
  Information: 
  Serve with some crusty bread or wholemeal pittas to make a light meal.","juice of half lemon2 tablespoons olive oil0.5 teaspoon dried oreganolarge pinch of black pepper200g cherry tomatoes, halved1 red onion finely slicedhalf a cucumber cucumber, sliced and quartered8 olives, quartered100g reduced-fat Greek-style salad cheese (feta)",https://assets.nhs.uk/campaigns-cms-prod/images/6.-Greek-style-salad.width-1534.jpg,15,131kcals,6.6g,9.4g,4.2g,"['juice of half lemon', '2 tablespoons olive oil', '0.5 teaspoon dried oreganolarge pinch of black pepper', '200g cherry tomatoes, halved', '1 red onion finely slicedhalf a cucumber cucumber, sliced and quartered', '8 olives, quartered', '100g reduced-fat Greek-style salad cheese (feta)']","['Mix the lemon juice, olive oil, oregano and black pepper together.', 'Combine the salad vegetables, olives and dressing, mix well and put in a serving bowl.', 'You could add some diced pepper too.', 'Crumble the cheese over the top.', 'Serve with some crusty bread or wholemeal pittas to make a light meal.']",Lunch
1771250420-125,Greek yoghurt and raspberry chill,"Oats – lightly toasted for a nutty flavour – are mixed with low-fat Greek yoghurt and raspberries to make a delicious dessert!Prep: 5 mins
Cook: 3 mins
Serves 4","544kJ / 129kcal6.6g protein3.2g fat, of which 1.5g saturates17g carbohydrate, of which 8.6g sugars3.1g fibre0.1g salt","Preheat the grill. Sprinkle the porridge oats onto a baking sheet and spread them out evenly, then grill until they are light brown, about 2 or 3 minutes. Watch out to make sure they don't burn!
  

          
            


  
    Once toasted, set the baking sheet aside and let the oats cool down.
  

          
            


  
    While the oats cool, put half the raspberries into a mixing bowl. Use a fork or potato masher to squash them down slightly. Divide the rest of the whole raspberries between 4 serving glasses, saving 4 raspberries for decoration.
  
    
  Information: 
  You can use forest fruits, strawberries or mixed summer berries (defrosted if frozen) instead of raspberries.


  

          
            


  
    Add the yoghurt and cooled oats to the bowl of crushed raspberries, and stir gently together.
  
    
  Information: 
  Ordinary low-fat yoghurt works fine if you don't have any Greek-style.


  

          
            


  
    Spoon the raspberry mixture into the serving glasses and top each one with a whole raspberry. Cover and chill until you're ready to serve.",50g porridge oats250g fresh or defrosted frozen raspberries300g low-fat Greek-style natural yoghurt,https://assets.nhs.uk/campaigns-cms-prod/images/Raspberry_toasted_oat_treat.width-1534.png,8,129kcals,6.6g,3.2g,17g,"['50g porridge oats', '250g fresh or defrosted frozen raspberries', '300g low-fat Greek-style natural yoghurt']","[""Preheat the grill. Sprinkle the porridge oats onto a baking sheet and spread them out evenly, then grill until they are light brown, about 2 or 3 minutes. Watch out to make sure they don't burn!"", 'Once toasted, set the baking sheet aside and let the oats cool down.', 'While the oats cool, put half the raspberries into a mixing bowl. Use a fork or potato masher to squash them down slightly. Divide the rest of the whole raspberries between 4 serving glasses, saving 4 raspberries for decoration.', 'You can use forest fruits, strawberries or mixed summer berries (defrosted if frozen) instead of raspberries.', 'Add the yoghurt and cooled oats to the bowl of crushed raspberries, and stir gently together.', ""Ordinary low-fat yoghurt works fine if you don't have any Greek-style."", ""Spoon the raspberry mixture into the serving glasses and top each one with a whole raspberry. Cover and chill until you're ready to serve.""]",Breakfast
1771250422-126,Good old fish and chips,"Make your own healthier version of fish and chips at home!Prep: 10 mins
Cook: 40 mins
Serves 4","1,682kJ / 402kcal34g protein56g carbohydrate of which 3g sugars6g fat of which 1g saturates4g fibre1g salt","Preheat the oven to 200C (fan 180C, gas mark 6). Lightly grease a baking sheet with a little vegetable oil.
  

          
            


  
    Put the potato wedges into a roasting tin. Add the remaining vegetable oil and toss to coat. Season with black pepper. Transfer to the oven to bake for 35 to 40 minutes, turning them over after 20 minutes.
  
    
  Information: 
  Not peeling the potatoes means you get more fibre in your diet – and they're quicker to prepare.


  

          
            


  
    Meanwhile, sprinkle the breadcrumbs onto a large plate. Season with a little pepper. Dip each fish fillet in the beaten egg, then coat in the breadcrumbs. Place on the baking sheet, then transfer to the oven when you turn the potatoes, so that it cooks for 15 to 20 minutes. To check that the fish is cooked, it should flake easily when tested with a fork.
  
    
  Information: 
  Look out for dried breadcrumbs flavoured with lemon or spices to add extra flavour to the fish, or add some finely grated lemon zest or a pinch of paprika to plain dried breadcrumbs.


  

          
            


  
    Heat the mushy peas in a saucepan, then serve with the fish and chips.","4 potatoes, scrubbed, each cut into 8 wedges1 tablespoon vegetable oil75g dried white or wholemeal breadcrumbs1 egg, beaten with 2 tbsp cold water4 fillets skinless white fish, like haddock, cod or pollock",https://assets.nhs.uk/campaigns-cms-prod/images/Recipes-square-healthy-fish-and-chips.width-1534.jpg,50,402kcals,34g,6g,56g,"['4 potatoes, scrubbed, each cut into 8 wedges', '1 tablespoon vegetable oil', '75g dried white or wholemeal breadcrumbs', '1 egg, beaten with 2 tbsp cold water', '4 fillets skinless white fish, like haddock, cod or pollock']","['Preheat the oven to 200C (fan 180C, gas mark 6). Lightly grease a baking sheet with a little vegetable oil.', 'Put the potato wedges into a roasting tin. Add the remaining vegetable oil and toss to coat. Season with black pepper. Transfer to the oven to bake for 35 to 40 minutes, turning them over after 20 minutes.', ""Not peeling the potatoes means you get more fibre in your diet – and they're quicker to prepare."", 'Meanwhile, sprinkle the breadcrumbs onto a large plate. Season with a little pepper. Dip each fish fillet in the beaten egg, then coat in the breadcrumbs. Place on the baking sheet, then transfer to the oven when you turn the potatoes, so that it cooks for 15 to 20 minutes. To check that the fish is cooked, it should flake easily when tested with a fork.', 'Look out for dried breadcrumbs flavoured with lemon or spices to add extra flavour to the fish, or add some finely grated lemon zest or a pinch of paprika to plain dried breadcrumbs.', 'Heat the mushy peas in a saucepan, then serve with the fish and chips.']",Dinner
1771250424-127,Fruity winter salad recipe,"Shredded vegetables with apples and raisins taste really good with a creamy lower-fat soft cheese dressing. This is a bit like coleslaw, though with more going on!Prep: 20 mins
Cook: 0 mins
Serves 4","556kJ / 132kcal6.5g protein1.7g fat, of which 0.9g saturates20g carbohydrate, of which 19.5g sugars5.2g fibre0.3g salt","Put the cabbage into a large salad bowl. Add the red onion, carrot, apple, lemon juice and sultanas (raisins would also do).
  
    
  Information: 
  If you like, add two satsumas, broken into segments, or use a can of mandarin oranges in natural juice, well drained.


  

          
            


  
    To make the dressing, put the soft cheese into a bowl and beat with a wooden spoon until softened.
  
    
  Information: 
  For extra flavour, choose a lower-fat soft cheese with garlic and herbs.



  

          
            


  
    Add the yoghurt and mix together. Pour over the salad, season with some black pepper and toss to mix. Serve.
  
    
  Information: 
  For a more filling lunch, try with a wholemeal bread roll.","500g firm white cabbage, shredded1 small red union, finely chopped1 carrot, coarsely grated1 medium apple, cored and chopped1 tablespoon lemon juice30g sultanas100g lower-fat soft cheese150g low-fat natural yoghurt1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/fruity_winter_salad.width-1534.png,20,132kcals,6.5g,1.7g,20g,"['500g firm white cabbage, shredded', '1 small red union, finely chopped', '1 carrot, coarsely grated', '1 medium apple, cored and chopped', '1 tablespoon lemon juice', '30g sultanas', '100g lower-fat soft cheese', '150g low-fat natural yoghurt', '1 pinch ground black pepper']","['Put the cabbage into a large salad bowl. Add the red onion, carrot, apple, lemon juice and sultanas (raisins would also do).', 'If you like, add two satsumas, broken into segments, or use a can of mandarin oranges in natural juice, well drained.', 'To make the dressing, put the soft cheese into a bowl and beat with a wooden spoon until softened.', 'For extra flavour, choose a lower-fat soft cheese with garlic and herbs.', 'Add the yoghurt and mix together. Pour over the salad, season with some black pepper and toss to mix. Serve.', 'For a more filling lunch, try with a wholemeal bread roll.']",Lunch
1771250426-128,Fruity French toast,"Eating fruit with breakfast is an ideal way to start the day! With this recipe, you'll get a little under 2 portions of fruit to help towards your goal of 5 A Day.Prep: 10 mins
Cook: 5 mins
Serves 4","481kJ / 115kcal4g protein20g carbohydrate, of which 18g sugars3g fat, of which 1g saturates1g fibre0.08g salt","Cut the slices of bread in half diagonally.
  
    
  Information: 
  This recipe works well with slightly stale fruit bread, as the drier texture soaks up more of the liquid, so it's ideal for using up a 2 to 3 day-old loaf.


  

          
            


  
    In a large shallow dish, beat together the egg, milk and vanilla extract. Add the pieces of fruit bread and leave them for about 2 to 3 minutes, turning them over once so that each side is thoroughly soaked.
  

          
            


  
    Heat a large non-stick frying pan and add the vegetable oil. Add the soaked bread and cook it gently for about 1 to 2 minutes until it has set and turned golden brown.
  

          
            


  
    Turn over the pieces and cook them on the other side for another 1 to 2 minutes.
  

          
            


  
    Share the bread between 4 warm plates. Slice the bananas over the top and serve with the thawed berries.
  
    
  Information: 
  Instead of bananas or berries, try a sliced fresh mango or canned pineapple chunks or peaches packed in natural fruit juice.You can also serve with fresh strawberries, raspberries or blueberries when they come into season.","4 slices fruit bread1 egg150ml 1% fat milk1 teaspoon vanilla extract1/2 teaspoon vegetable oil4 bananas, peeled and sliced200g defrosted frozen summer berries, or forest fruits",https://assets.nhs.uk/campaigns-cms-prod/images/Fruity_french_toast_image.width-1534.png,15,115kcals,4g,3g,20g,"['4 slices fruit bread', '1 egg', '150ml 1% fat milk', '1 teaspoon vanilla extract', '1/2 teaspoon vegetable oil', '4 bananas, peeled and sliced', '200g defrosted frozen summer berries, or forest fruits']","['Cut the slices of bread in half diagonally.', ""This recipe works well with slightly stale fruit bread, as the drier texture soaks up more of the liquid, so it's ideal for using up a 2 to 3 day-old loaf."", 'In a large shallow dish, beat together the egg, milk and vanilla extract. Add the pieces of fruit bread and leave them for about 2 to 3 minutes, turning them over once so that each side is thoroughly soaked.', 'Heat a large non-stick frying pan and add the vegetable oil. Add the soaked bread and cook it gently for about 1 to 2 minutes until it has set and turned golden brown.', 'Turn over the pieces and cook them on the other side for another 1 to 2 minutes.', 'Share the bread between 4 warm plates. Slice the bananas over the top and serve with the thawed berries.', 'Instead of bananas or berries, try a sliced fresh mango or canned pineapple chunks or peaches packed in natural fruit juice.You can also serve with fresh strawberries, raspberries or blueberries when they come into season.']",Breakfast
1771250428-129,Four seasons pizza,"Everyone loves making pizza – it's completely customisable and usually a lot healthier than shop-bought ones.Prep: 15 mins
Cook: 15 mins
Serves 4","768kJ / 182kcal10.2g protein23g carbohydrate, of which 3.6g sugars5.1g fat, of which 2.1g saturates2.1g fibre0.7g salt","Preheat the oven to 200C (fan 180C, gas mark 6). Place the pizza base on a large baking sheet. Spoon the tomato purée on top and spread it evenly over the surface.
  

          
            


  
    Arrange the tomatoes on top. Scatter with half the mozzarella, then sprinkle with the herbs. Arrange the ham over a quarter of the pizza, along with the pineapple pieces.
  

          
            


  
    Arrange the mushrooms over a second quarter of the pizza. Put the cooked chicken or turkey over a third quarter of the pizza. Leave the last quarter as it is.
  

          
            


  
    Sprinkle the rest of the mozzarella over the whole pizza, then bake for 12 to 15 minutes until the cheese is bubbling. Let cool for a few moments before slicing and serving.
  
    
  Information: 
  Ready-grated mozzarella is better for pizza toppings, as the whole cheese is tricky to grate.","one 23cm pizza base1g tomato purée2 tomatoes, sliced50g ready-grated mozzarella1 teaspoon dried Italian mixed herbs25g sliced wafer-thin ham, chopped25g pineapple pieces in natural juice, drained2 mushrooms (cup or button), thickly sliced25g cooked chicken (or turkey), chopped",https://assets.nhs.uk/campaigns-cms-prod/images/9.-Four-seasons-pizza.width-1534.jpg,30,182kcals,10.2g,5.1g,23g,"['one 23cm pizza base', '1g tomato purée', '2 tomatoes, sliced', '50g ready-grated mozzarella', '1 teaspoon dried Italian mixed herbs', '25g sliced wafer-thin ham, chopped', '25g pineapple pieces in natural juice, drained', '2 mushrooms (cup or button), thickly sliced', '25g cooked chicken (or turkey), chopped']","['Preheat the oven to 200C (fan 180C, gas mark 6). Place the pizza base on a large baking sheet. Spoon the tomato purée on top and spread it evenly over the surface.', 'Arrange the tomatoes on top. Scatter with half the mozzarella, then sprinkle with the herbs. Arrange the ham over a quarter of the pizza, along with the pineapple pieces.', 'Arrange the mushrooms over a second quarter of the pizza. Put the cooked chicken or turkey over a third quarter of the pizza. Leave the last quarter as it is.', 'Sprinkle the rest of the mozzarella over the whole pizza, then bake for 12 to 15 minutes until the cheese is bubbling. Let cool for a few moments before slicing and serving.', 'Ready-grated mozzarella is better for pizza toppings, as the whole cheese is tricky to grate.']",Dinner
1771250430-130,Forest fruit milkshake,"A great part of your breakfast, smoothies and milkshakes only take minutes to put together and help towards your 5 A Day.Prep: 5 mins
Cook: 0 mins
Serves 4","657kJ / 157kcal9g protein23g carbohydrate, of which 22g sugars4.5g fat, of which 2g saturates1g fibre0.25g salt","Slice the banana into a blender and add the frozen fruit (there's no need to thaw it first).
  
    
  Information: 
  Try using frozen summer berries or frozen raspberries instead of forest fruits. Adding them to the blender while frozen makes an icy-cold milkshake.


  

          
            


  
    Add the low fat yoghurt and milk. Blend together for 15-20 seconds, then pour into 4 glasses.
  
    
  Information: 
  If you don't have a traditional blender, use a hand-held stick blender instead.


  

          
            


  
    Serve and enjoy whilst cold!","1 banana, peeled150g frozen summer berries, or forest fruits150g low-fat natural yoghurt750ml 1% fat milk",https://assets.nhs.uk/campaigns-cms-prod/images/Forest_fruit_milkshake.width-1534.png,5,157kcals,9g,4.5g,23g,"['1 banana, peeled', '150g frozen summer berries, or forest fruits', '150g low-fat natural yoghurt', '750ml 1% fat milk']","[""Slice the banana into a blender and add the frozen fruit (there's no need to thaw it first)."", 'Try using frozen summer berries or frozen raspberries instead of forest fruits. Adding them to the blender while frozen makes an icy-cold milkshake.', 'Add the low fat yoghurt and milk. Blend together for 15-20 seconds, then pour into 4 glasses.', ""If you don't have a traditional blender, use a hand-held stick blender instead."", 'Serve and enjoy whilst cold!']",Breakfast
1771250432-131,Flippin' tasty tomato pancakes,"Savoury pancakes are the perfect breakfast or light-lunch treat. Excellent for a relaxed weekend!Prep: 10 mins
Cook: 15 mins
Serves 4",210kJ / 177kcal9.5g protein26g carbohydrate of which 7g sugars5g fat of which 2g saturates2g fibre0.6g salt,"Put the flour into a large mixing bowl and add the egg, yoghurt and milk. Use a wire whisk or handheld electric beater on a slow speed to whisk the ingredients together to make a smooth batter.
  
    
  Information: 
  The batter can be made in a blender if you prefer. Just whizz all the ingredients together for 15 to 20 seconds.


  

          
            


  
    Heat a few drops of vegetable oil in a non-stick frying pan. Add one quarter of the batter, tilting the pan so that the batter flows over the surface. Cook until bubbles appear and the batter has set, then flip over to cook the other side. Repeat to make 4 pancakes, keeping them in a warm place.
  

          
            


  
    Meanwhile, put the mushrooms and stock into a large frying pan and simmer for 5 to 6 minutes. Add the cherry tomatoes and herbs and cook for another 2 to 3 minutes.
  

          
            


  
    Serve 1 pancake per person, topped with the mushrooms and tomatoes.
  
    
  Information: 
  For a sweet version, serve 1 pancake per person, topped with a sliced banana and an extra tablespoon of low-fat natural yoghurt.","100g plain flour1 egg3 tablespoons lower-fat natural yoghurt250ml 1%-fat milk1 teaspoon vegetable oil200g closed-cup mushrooms, sliced50ml reduced-salt vegetable or chicken stock2 handfuls cherry tomatoes, halved1 teaspoon dried mixed herbs1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/5.-Flippin-tasty-tomato-pancakes.width-1534.jpg,25,177kcals,9.5g,5g,26g,"['100g plain flour', '1 egg', '3 tablespoons lower-fat natural yoghurt', '250ml 1%-fat milk', '1 teaspoon vegetable oil', '200g closed-cup mushrooms, sliced', '50ml reduced-salt vegetable or chicken stock', '2 handfuls\xa0cherry tomatoes, halved', '1 teaspoon dried mixed herbs', '1 pinch\xa0ground black pepper']","['Put the flour into a large mixing bowl and add the egg, yoghurt and milk. Use a wire whisk or handheld electric beater on a slow speed to whisk the ingredients together to make a smooth batter.', 'The batter can be made in a blender if you prefer. Just whizz all the ingredients together for 15 to 20 seconds.', 'Heat a few drops of vegetable oil in a non-stick frying pan. Add one quarter of the batter, tilting the pan so that the batter flows over the surface. Cook until bubbles appear and the batter has set, then flip over to cook the other side. Repeat to make 4 pancakes, keeping them in a warm place.', 'Meanwhile, put the mushrooms and stock into a large frying pan and simmer for 5 to 6 minutes. Add the cherry tomatoes and herbs and cook for another 2 to 3 minutes.', 'Serve 1 pancake per person, topped with the mushrooms and tomatoes.', 'For a sweet version, serve 1 pancake per person, topped with a sliced banana and an extra tablespoon of low-fat natural yoghurt.']",Breakfast
